X1,X2,X3,X4,X5,X6,Y1
34.400423,13.208689,7.643646,13.251368,117.996835,-299.610602,460
35.960094,10.05798,17.976625,8.107629,121.996835,-299.610602,440
32.14675,7.736695,24.90996,3.678209,125.996835,-299.610602,400
28.384832,7.109847,33.460369,11.430173,129.996835,-299.610602,350
24.697851,8.558236,32.951069,16.608829,133.996835,-299.610602,300
21.125079,7.837935,32.191753,20.100148,137.996835,-299.610602,210
17.735674,4.472305,33.375311,21.540662,141.996835,-299.610602,0
14.657397,3.251122,37.753219,19.452501,145.996835,-299.610602,0
12.129486,5.756568,25.390897,19.452501,149.996835,-299.610602,0
10.555074,9.365167,28.990885,19.452501,153.996835,-299.610602,340
10.377607,11.597346,28.302336,19.452501,157.996835,-299.610602,310
11.661041,8.768963,21.808376,19.452501,161.996835,-299.610602,210
14.009462,7.161773,23.064426,19.452501,165.996835,-299.610602,0
16.986765,7.595214,29.044072,21.341166,169.996835,-299.610602,130
20.31835,9.802222,32.470252,20.658461,173.996835,-299.610602,290
23.856246,7.287208,34.087845,17.565462,177.996835,-299.610602,380
27.521003,5.232064,34.372179,12.801958,181.996835,-299.610602,470
31.268047,5.80048,24.235407,5.77993,185.996835,-299.610602,480
35.071013,8.480369,17.340317,0,189.996835,-299.610602,500
38.913508,11.92425,11.169072,0,193.996835,-299.610602,540
42.784883,15.635179,0.607518,0,197.996835,-299.610602,570
32.513817,26.50402,0,19.250643,53.996835,-295.610602,580
28.640192,29.565407,0,22.376815,57.996835,-295.610602,600
24.806711,25.634655,0,23.130453,61.996835,-295.610602,580
21.035332,21.729193,0,19.935011,65.996835,-295.610602,550
17.366563,17.865613,0,19.935011,69.996835,-295.610602,550
13.881996,14.078437,0,19.935011,73.996835,-295.610602,530
10.762069,10.451061,7.182397,19.935011,77.996835,-295.610602,470
8.422258,7.228206,14.381672,19.935011,81.996835,-295.610602,400
7.618841,5.221996,19.309925,19.935011,85.996835,-295.610602,310
8.784022,5.855897,22.855562,19.935011,89.996835,-295.610602,190
11.325695,7.125297,21.458171,19.935011,93.996835,-295.610602,80
14.539039,5.986973,22.730837,19.935011,97.996835,-295.610602,20
18.0692,5.172671,24.202599,19.935011,101.996835,-295.610602,30
21.762543,7.047638,20.605837,19.935011,105.996835,-295.610602,250
25.548397,10.226529,14.620968,23.29571,109.996835,-295.610602,390
29.391034,13.838156,8.087577,21.908938,113.996835,-295.610602,470
33.270786,11.531872,5.847238,18.449202,117.996835,-295.610602,510
35.033381,8.700181,19.295528,13.305462,121.996835,-295.610602,490
23.32795,9.78879,31.231985,20.741095,133.996835,-295.610602,310
42.008995,17.335721,0,0,197.996835,-295.610602,640
32.596032,9.665302,9.500669,21.957728,117.996835,-291.610602,170
22.592093,7.500292,22.134036,23.115486,133.996835,-291.610602,210
41.604869,19.712828,0,0,197.996835,-291.610602,580
32.404589,9.265638,10.31208,26.828858,117.996835,-287.610602,120
22.55243,6.977705,18.693074,24.701026,133.996835,-287.610602,110
41.583344,20.060838,0,0,197.996835,-287.610602,530
32.704946,10.501715,11.30368,21.323304,117.996835,-283.610602,130
23.21253,8.551161,23.409247,21.102053,133.996835,-283.610602,70
41.945011,16.830995,0,0,197.996835,-283.610602,510
23.092652,22.111209,0,27.154952,49.996835,-279.610602,390
26.302283,25.930319,0,28.734855,53.996835,-279.610602,360
28.887454,28.298942,0,26.974715,57.996835,-279.610602,260
25.091778,29.801839,0,22.129339,61.996835,-279.610602,200
21.370765,28.111445,0,19.710776,65.996835,-279.610602,170
17.771379,26.482788,0,19.710776,69.996835,-279.610602,150
14.385208,24.795982,0,19.710776,73.996835,-279.610602,140
11.403794,22.931703,0,19.710776,77.996835,-279.610602,120
9.228154,21.65376,0,19.710776,81.996835,-279.610602,110
8.501243,21.069115,0,19.710776,85.996835,-279.610602,110
9.559469,21.235109,0,19.710776,89.996835,-279.610602,100
11.937159,22.134863,0,19.710776,93.996835,-279.610602,100
15.020255,21.271629,0,19.710776,97.996835,-279.610602,120
18.458612,21.056943,0,19.710776,101.996835,-279.610602,120
22.086934,21.474544,0,19.710776,105.996835,-279.610602,110
25.825278,18.436288,0,22.294596,109.996835,-279.610602,110
29.632031,15.831532,8.967458,20.907824,113.996835,-279.610602,100
33.483871,12.91201,14.611932,17.448088,117.996835,-279.610602,180
35.835395,10.460836,22.059705,12.304348,121.996835,-279.610602,180
32.007197,9.172687,29.7026,8.418699,125.996835,-279.610602,170
28.226686,9.531383,30.778908,11.973943,129.996835,-279.610602,220
24.515933,9.48554,27.608674,17.152599,133.996835,-279.610602,210
20.912104,8.978115,18.769319,20.643919,137.996835,-279.610602,120
17.481455,9.016914,19.168974,22.084432,141.996835,-279.610602,130
14.348743,9.374914,17.705371,19.644834,145.996835,-279.610602,120
11.75464,11.246035,14.409451,19.644834,149.996835,-279.610602,130
10.122091,14.03772,9.540946,19.644834,153.996835,-279.610602,180
9.936894,15.784294,5.929978,19.644834,157.996835,-279.610602,170
11.270626,14.952305,8.02129,19.644834,161.996835,-279.610602,200
13.686204,15.165714,7.531594,19.644834,165.996835,-279.610602,210
16.721164,16.383723,3.866204,21.884936,169.996835,-279.610602,240
20.096827,15.659429,0,21.202232,173.996835,-279.610602,290
23.66786,12.842436,9.634083,18.109233,177.996835,-279.610602,420
27.357865,10.3522,13.626701,13.345728,181.996835,-279.610602,440
31.124555,9.022634,15.653418,6.3237,185.996835,-279.610602,460
34.943141,9.362041,15.08469,0,189.996835,-279.610602,480
38.798302,11.219969,11.766424,0,193.996835,-279.610602,490
42.680129,14.004556,6.273585,0,197.996835,-279.610602,510
24.628691,14.865362,0,16.353626,9.996835,-275.610602,530
21.097676,13.436848,0,19.72624,13.996835,-275.610602,510
17.766583,13.119404,2.871456,20.959832,17.996835,-275.610602,520
14.77129,13.154997,9.574463,19.221485,21.996835,-275.610602,530
12.35842,11.51216,12.516692,19.221485,25.996835,-275.610602,490
10.921084,11.135786,13.161654,19.221485,29.996835,-275.610602,460
10.854013,12.1442,11.418515,19.221485,33.996835,-275.610602,470
12.179866,14.246315,7.317965,19.221485,37.996835,-275.610602,480
14.522006,17.042106,0,19.221485,41.996835,-275.610602,460
17.476504,20.246216,0,21.615586,45.996835,-275.610602,440
20.783833,22.878976,0,27.764214,49.996835,-275.610602,410
24.300355,23.38305,0,29.344118,53.996835,-275.610602,390
27.947214,24.537451,0,27.583977,57.996835,-275.610602,350
34.709159,10.31091,18.118443,11.81296,117.996835,-275.610602,160
37.126607,9.003086,21.951797,6.669221,121.996835,-275.610602,170
33.446526,9.369964,22.397708,0,125.996835,-275.610602,140
29.848873,8.659318,23.01648,6.242898,129.996835,-275.610602,110
26.367412,5.900902,23.039665,11.421553,133.996835,-275.610602,110
29.028644,7.21202,19.645945,7.614683,181.996835,-275.610602,450
32.602873,5.123779,25.091595,0.592654,185.996835,-275.610602,460
36.266134,5.700263,23.407918,0,189.996835,-275.610602,490
39.99397,8.410284,16.927887,0,193.996835,-275.610602,500
43.769885,11.873195,10.602128,0,197.996835,-275.610602,510
23.179076,18.477364,0,20.666068,9.996835,-271.610602,380
22.829902,19.494189,0,23.889195,53.996835,-271.610602,120
31.126703,4.417041,31.995784,0,181.996835,-271.610602,320
22.359935,22.222668,0,23.261851,9.996835,-267.610602,390
21.997762,15.661411,0,23.63794,53.996835,-267.610602,140
33.572028,3.52151,37.175903,0,181.996835,-267.610602,250
22.24104,24.686901,0,26.210885,9.996835,-263.610602,410
21.876899,11.938852,7.489288,26.941144,53.996835,-263.610602,290
35.391661,6.106703,38.179858,0,181.996835,-263.610602,310
22.833331,21.789471,0,21.734686,9.996835,-259.610602,400
22.478787,8.47305,14.235172,22.110776,53.996835,-259.610602,290
32.588127,5.366399,40.814031,0,181.996835,-259.610602,220
27.812203,16.389056,4.423365,12.915586,5.996835,-255.610602,380
24.084397,18.447543,0,17.964886,9.996835,-255.610602,350
20.45966,17.762527,0,21.3375,13.996835,-255.610602,210
17.004035,13.963081,5.453526,22.571092,17.996835,-255.610602,150
13.844737,10.316391,12.68567,19.792397,21.996835,-255.610602,120
11.234602,7.063158,19.500342,19.792397,25.996835,-255.610602,110
9.630982,5.034728,31.424402,19.792397,29.996835,-255.610602,100
9.55486,5.727894,24.343549,19.792397,33.996835,-255.610602,140
11.037884,8.501121,24.515502,19.792397,37.996835,-255.610602,80
13.578454,7.687035,25.814025,19.792397,41.996835,-255.610602,80
16.700717,4.290687,25.463668,22.495134,45.996835,-255.610602,100
20.135875,3.119212,25.463668,21.557179,49.996835,-255.610602,140
23.748537,5.748823,25.463668,18.340975,53.996835,-255.610602,300
30.056653,6.157745,36.639386,0,181.996835,-255.610602,390
29.397547,12.889219,12.262043,7.41212,5.996835,-251.610602,380
25.898944,15.422148,7.284206,12.46142,9.996835,-251.610602,370
22.567562,17.111673,0,15.834034,13.996835,-251.610602,320
27.871468,5.362792,27.247213,10.009654,181.996835,-251.610602,480
31.405447,1.731885,41.60497,4.246756,185.996835,-251.610602,560
28.168288,12.937288,12.179984,3.376432,9.996835,-247.610602,400
25.139451,16.464632,4.12517,6.61549,13.996835,-247.610602,340
